program,section,source,level,name,parent_name,full_path,pic,usage,occurs,occurs_depends_on,redefines,value,line_etude,used_direct,used,usage_count,first_usage_line
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-NBLIGNES,SMASH,SMASH/SMASH-NBLIGNES,9(004),,,,,ZERO,000050,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-NUMPAG,SMASH,SMASH/SMASH-NUMPAG,9(004),,,,,ZERO,000051,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-NUMPAGSUIV,SMASH,SMASH/SMASH-NUMPAGSUIV,9(004),,,,,ZERO,000052,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-TOUCHETRANS,SMASH,SMASH/SMASH-TOUCHETRANS,X(001),,,,,SPACE,000053,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-MODANALCDE,SMASH,SMASH/SMASH-MODANALCDE,X(008),,,,,SPACE,000054,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-COMMANDE,SMASH,SMASH/SMASH-COMMANDE,X(001),,,,,SPACE,000055,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-ITEMS,SMASH,SMASH/SMASH1-ITEMS,9(004),,,,,ZERO,000056,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-CPTNIVEAU,SMASH,SMASH/SMASH1-CPTNIVEAU,9(002),,,,,ZERO,000057,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-CPTTRAIT,SMASH,SMASH/SMASH1-CPTTRAIT,9(002),,,,,ZERO,000058,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-MODAFFICH,SMASH,SMASH/SMASH1-MODAFFICH,X(008),,,,,SPACE,000059,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-IDMS,SMASH,SMASH/SMASH1-IDMS,X(008),,,,,SPACE,000060,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-NBPAGTOT,SMASH,SMASH/SMASH1-NBPAGTOT,9(004),,,,,ZERO,000061,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-NBLIGNES,SMASH,SMASH/SMASH1-NBLIGNES,9(004),,,,,ZERO,000062,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-NUMPAG,SMASH,SMASH/SMASH1-NUMPAG,9(004),,,,,ZERO,000063,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-NUMPAGSUIV,SMASH,SMASH/SMASH1-NUMPAGSUIV,9(004),,,,,ZERO,000064,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-TOUCHETRANS,SMASH,SMASH/SMASH1-TOUCHETRANS,X(001),,,,,SPACE,000065,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-MODANALCDE,SMASH,SMASH/SMASH1-MODANALCDE,X(008),,,,,SPACE,000066,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-COMMANDE,SMASH,SMASH/SMASH1-COMMANDE,X(001),,,,,SPACE,000067,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-EIBCALEN,SMASH,SMASH/SMASH-EIBCALEN,9(004),,,,,ZERO,000068,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-COMAREA,SMASH,SMASH/SMASH-COMAREA,9(004),,,,,ZERO,000069,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPT001,SMASH,SMASH/SMASH-CPT001,9(004),,,,,ZERO,000070,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPT002,SMASH,SMASH/SMASH-CPT002,9(004),,,,,ZERO,000071,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPT003,SMASH,SMASH/SMASH-CPT003,9(004),,,,,ZERO,000072,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPT004,SMASH,SMASH/SMASH-CPT004,9(004),,,,,ZERO,000073,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPT005,SMASH,SMASH/SMASH-CPT005,9(004),,,,,ZERO,000074,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-LENGTH,SMASH,SMASH/SMASH-LENGTH,9(004),,,,,ZERO,000075,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-HHMM,SMASH,SMASH/SMASH-HHMM,9(004),,,,,ZERO,000076,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-HHMMSS,SMASH,SMASH/SMASH-HHMMSS,9(006),,,,,ZERO,000077,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-EIBTASKN,SMASH,SMASH/SMASH-EIBTASKN,9(007),,,,,ZERO,000078,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CM-RETCODE,SMASH,SMASH/SMASH-CM-RETCODE,9(009),,,,,ZERO,000079,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-STATUS-RECEIVED,SMASH,SMASH/SMASH-STATUS-RECEIVED,9(009),,,,,ZERO,000080,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-RECEIVE-RETCODE1,SMASH,SMASH/SMASH-RECEIVE-RETCODE1,9(009),,,,,ZERO,000081,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,01,SMAD,,SMAD,,,,,,,000084,N,Y,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,05,SMAD-LOG,SMAD,SMAD/SMAD-LOG,9(001),,,,,1,000085,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,05,SMAD-GRP,SMAD,SMAD/SMAD-GRP,,,,,,,000086,Y,Y,1,000868
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-PGM,SMAD-GRP,SMAD/SMAD-GRP/SMAD-PGM,X(008).,,,,,,000087,Y,Y,1,000869
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-OPER,SMAD-GRP,SMAD/SMAD-GRP/SMAD-OPER,X(008).,,,,,,000088,Y,Y,41,000870
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TRAN,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TRAN,X(004),,,,,,000089,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-XPGM,SMAD-GRP,SMAD/SMAD-GRP/SMAD-XPGM,X(008).,,,,,,000090,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TYNC,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TYNC,X(008).,,,,,,000091,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-CMAP,SMAD-GRP,SMAD/SMAD-GRP/SMAD-CMAP,X(015).,,,,,,000092,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TSQN,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TSQN,X(008).,,,,,,000093,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TSQL,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TSQL,X(015).,,,,,,000094,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TSQI,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TSQI,9(004).,,,,,,000095,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-INFO,SMAD-GRP,SMAD/SMAD-GRP/SMAD-INFO,X(060).,,,,,,000096,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-DCOD,SMAD-GRP,SMAD/SMAD-GRP/SMAD-DCOD,X(004).,,,,,,000097,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-FGRP,SMAD-GRP,SMAD/SMAD-GRP/SMAD-FGRP,,,,,,,000098,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,15,SMAD-FILE,SMAD-FGRP,SMAD/SMAD-GRP/SMAD-FGRP/SMAD-FILE,X(008).,,,,,,000099,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,15,SMAD-FKEY,SMAD-FGRP,SMAD/SMAD-GRP/SMAD-FGRP/SMAD-FKEY,X(030).,,,,,,000100,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-STOR,SMAD-GRP,SMAD/SMAD-GRP/SMAD-STOR,X(020).,,,,,,000101,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TTRA,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TTRA,X(008).,,,,,,000102,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-RCOD,SMAD-GRP,SMAD/SMAD-GRP/SMAD-RCOD,X(008).,,,,,,000103,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-RTYP,SMAD-GRP,SMAD/SMAD-GRP/SMAD-RTYP,X(008).,,,,,,000104,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-INQT,SMAD-GRP,SMAD/SMAD-GRP/SMAD-INQT,X(015).,,,,,,000105,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-INQX,SMAD-GRP,SMAD/SMAD-GRP/SMAD-INQX,X(030).,,,,,,000106,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TYPA,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TYPA,X(010).,,,,,,000107,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,01,SRSWFANO,,SRSWFANO,,,,,,,000110,N,Y,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,05,SRSWFANO-MESS1,SRSWFANO,SRSWFANO/SRSWFANO-MESS1,,,,,,,000111,Y,Y,3,000437
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-PGM,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-PGM,X(08).,,,,,,000112,Y,Y,3,000431
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/FILLER,X(03),,,,,' : ',000113,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/FILLER,X(10),,,,,'ERREUR EN ',000114,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-ORDRE,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-ORDRE,X(10).,,,,,,000115,Y,Y,3,000432
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/FILLER,X(05),,,,,' SUR ',000116,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-FICHIER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-FICHIER,X(08).,,,,,,000117,Y,Y,3,000433
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/FILLER,X(16),,,,,,000118,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-CODE,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-CODE,9(04).,,,,,,000120,Y,Y,3,000435
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/FILLER,X(12),,,,,SPACES,000121,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-APPL,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-APPL,X(03),,,,,SPACES,000122,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,05,SRSWFANO-MESS2,SRSWFANO,SRSWFANO/SRSWFANO-MESS2,,,,,,,000123,Y,Y,3,000438
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2/FILLER,X(12),,,,,'-REPERE PGM ',000124,N,N,0,
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-REPERE,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2/SRSWFANO-REPERE,X(10).,,,,,,000125,Y,Y,3,000436
