program,file,line_start,copybook,has_replacing,statement
SARRVTAM,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SARRVTAM.cbl,52,SMASHTRC,NO,COPY SMASHTRC.
SARRVTAM,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SARRVTAM.cbl,55,SMASHDIW,NO,COPY SMASHDIW.
SARRVTAM,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SARRVTAM.cbl,60,SARFTERM,NO,COPY SARFTERM.
SARRVTAM,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SARRVTAM.cbl,200,SMASHDIP,NO,COPY SMASHDIP.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,56,SMASHTRC,NO,COPY SMASHTRC.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,59,SMASHDIW,NO,COPY SMASHDIW.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,62,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,65,SRSWFANO,NO,COPY SRSWFANO.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,68,SRSMA0,NO,COPY SRSMA0.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,71,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,72,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA000,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA000.cbl,224,SMASHDIP,NO,COPY SMASHDIP.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,56,SMASHTRC,NO,COPY SMASHTRC.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,59,SMASHDIW,NO,COPY SMASHDIW.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,62,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,65,SRSWFANO,NO,COPY SRSWFANO.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,68,SRSMA1,NO,COPY SRSMA1.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,71,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,72,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA010,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA010.cbl,220,SMASHDIP,NO,COPY SMASHDIP.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,65,SRSWFANO,NO,COPY SRSWFANO.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,67,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,70,SMASHTRC,NO,COPY SMASHTRC.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,73,SMASHDIW,NO,COPY SMASHDIW.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,84,SRSWAPPC,NO,COPY SRSWAPPC.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,86,SRSTSRA1,NO,COPY SRSTSRA1.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,89,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,90,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,96,SRSFAPPA,NO,COPY SRSFAPPA.
SRSRA100,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA100.cbl,414,SMASHDIP,NO,COPY SMASHDIP.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,76,SMASHTRC,NO,COPY SMASHTRC.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,79,SMASHDIW,NO,COPY SMASHDIW.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,82,SRSWFANO,NO,COPY SRSWFANO.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,84,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,95,DFHAID,NO,COPY DFHAID.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,97,SRSMA2,NO,COPY SRSMA2.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,99,SRSWAPPC,NO,COPY SRSWAPPC.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,101,SRSTSRA1,NO,COPY SRSTSRA1.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,104,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,105,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA110,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA110.cbl,432,SMASHDIP,NO,COPY SMASHDIP.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,68,SMASHTRC,NO,COPY SMASHTRC.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,71,SMASHDIW,NO,COPY SMASHDIW.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,74,SRSWFANO,NO,COPY SRSWFANO.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,76,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,86,DFHAID,NO,COPY DFHAID.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,88,SRSTSRA1,NO,COPY SRSTSRA1.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,91,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,92,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,95,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCSF==.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,96,SRSCOMF0,NO,COPY SRSCOMF0.
SRSRA120,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA120.cbl,488,SMASHDIP,NO,COPY SMASHDIP.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,59,SMASHTRC,NO,COPY SMASHTRC.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,62,SMASHDIW,NO,COPY SMASHDIW.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,65,SRSWFANO,NO,COPY SRSWFANO.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,67,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,74,SRSFSER1,NO,COPY SRSFSER1.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,76,SRSFSER2,NO,COPY SRSFSER2.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,78,SRSTSRS6,NO,COPY SRSTSRS6.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,81,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,82,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,85,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCSS==.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,86,SRSCOMS0,NO,COPY SRSCOMS0.
SRSRA130,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA130.cbl,494,SMASHDIP,NO,COPY SMASHDIP.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,79,SMASHTRC,NO,COPY SMASHTRC.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,82,SMASHDIW,NO,COPY SMASHDIW.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,85,SRSWFANO,NO,COPY SRSWFANO.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,87,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,89,SRSMA3,NO,COPY SRSMA3.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,91,SRSWAPPC,NO,COPY SRSWAPPC.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,93,SRSWFONC,NO,COPY SRSWFONC.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,96,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,97,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,103,SRSFAPPA,NO,COPY SRSFAPPA.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,106,SRSFFONC,NO,COPY SRSFFONC.
SRSRA200,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA200.cbl,492,SMASHDIP,NO,COPY SMASHDIP.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,56,SMASHTRC,NO,COPY SMASHTRC.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,59,SMASHDIW,NO,COPY SMASHDIW.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,62,SRSWFANO,NO,COPY SRSWFANO.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,64,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,75,SRSMA4,NO,COPY SRSMA4.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,77,SRSWAPPC,NO,COPY SRSWAPPC.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,79,SRSWFONC,NO,COPY SRSWFONC.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,81,SRSTSRA2,NO,COPY SRSTSRA2.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,84,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,85,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,91,SRSFAPPD,YES,COPY SRSFAPPD REPLACING ==:DEPENDING ON FAPPD-NBFI:== BY == ==.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,94,SRSFFONC,NO,COPY SRSFFONC.
SRSRA210,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA210.cbl,498,SMASHDIP,NO,COPY SMASHDIP.
SRSRA211,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA211.cbl,56,SMASHTRC,NO,COPY SMASHTRC.
SRSRA211,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA211.cbl,59,SMASHDIW,NO,COPY SMASHDIW.
SRSRA211,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA211.cbl,62,SRSWFANO,NO,COPY SRSWFANO.
SRSRA211,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA211.cbl,64,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA211,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA211.cbl,75,DFHAID,NO,COPY DFHAID.
SRSRA211,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA211.cbl,77,SRSMA4,NO,COPY SRSMA4.
SRSRA211,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA211.cbl,79,SRSTSRA2,NO,COPY SRSTSRA2.
SRSRA211,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA211.cbl,82,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA211,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA211.cbl,83,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA211,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA211.cbl,357,SMASHDIP,NO,COPY SMASHDIP.
SRSRA212,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA212.cbl,56,SMASHTRC,NO,COPY SMASHTRC.
SRSRA212,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA212.cbl,59,SMASHDIW,NO,COPY SMASHDIW.
SRSRA212,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA212.cbl,62,SRSWFANO,NO,COPY SRSWFANO.
SRSRA212,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA212.cbl,64,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA212,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA212.cbl,73,DFHAID,NO,COPY DFHAID.
SRSRA212,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA212.cbl,75,SRSTSRA2,NO,COPY SRSTSRA2.
SRSRA212,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA212.cbl,78,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA212,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA212.cbl,79,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA212,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA212.cbl,356,SMASHDIP,NO,COPY SMASHDIP.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,75,SMASHTRC,NO,COPY SMASHTRC.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,78,SMASHDIW,NO,COPY SMASHDIW.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,81,SRSWFANO,NO,COPY SRSWFANO.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,83,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,102,SRSMA7,NO,COPY SRSMA7.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,104,SRSMA8,NO,COPY SRSMA8.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,106,SRSWAPPC,NO,COPY SRSWAPPC.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,109,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,110,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,116,SRSFAPPC,NO,COPY SRSFAPPC.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,118,SRSFAPPS,NO,COPY SRSFAPPS.
SRSRA220,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA220.cbl,529,SMASHDIP,NO,COPY SMASHDIP.
SRSRA230,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA230.cbl,59,SMASHTRC,NO,COPY SMASHTRC.
SRSRA230,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA230.cbl,62,SMASHDIW,NO,COPY SMASHDIW.
SRSRA230,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA230.cbl,65,SRSWFANO,NO,COPY SRSWFANO.
SRSRA230,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA230.cbl,67,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA230,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA230.cbl,83,SRSMA5,NO,COPY SRSMA5.
SRSRA230,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA230.cbl,85,SRSTSRA2,NO,COPY SRSTSRA2.
SRSRA230,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA230.cbl,93,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA230,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA230.cbl,94,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA230,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA230.cbl,367,SMASHDIP,NO,COPY SMASHDIP.
SRSRA240,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA240.cbl,57,SMASHTRC,NO,COPY SMASHTRC.
SRSRA240,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA240.cbl,60,SMASHDIW,NO,COPY SMASHDIW.
SRSRA240,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA240.cbl,63,SRSWFANO,NO,COPY SRSWFANO.
SRSRA240,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA240.cbl,65,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA240,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA240.cbl,77,SRSMA6,NO,COPY SRSMA6.
SRSRA240,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA240.cbl,79,SRSTSRA2,NO,COPY SRSTSRA2.
SRSRA240,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA240.cbl,87,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA240,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA240.cbl,88,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA240,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA240.cbl,248,SMASHDIP,NO,COPY SMASHDIP.
SRSRA245,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA245.cbl,54,SMASHTRC,NO,COPY SMASHTRC.
SRSRA245,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA245.cbl,57,SMASHDIW,NO,COPY SMASHDIW.
SRSRA245,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA245.cbl,60,SRSWFANO,NO,COPY SRSWFANO.
SRSRA245,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA245.cbl,62,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA245,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA245.cbl,69,DFHAID,NO,COPY DFHAID.
SRSRA245,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA245.cbl,79,SRSMAB,NO,COPY SRSMAB.
SRSRA245,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA245.cbl,87,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA245,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA245.cbl,88,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA245,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA245.cbl,214,SMASHDIP,NO,COPY SMASHDIP.
SRSRA250,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA250.cbl,54,SMASHTRC,NO,COPY SMASHTRC.
SRSRA250,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA250.cbl,57,SMASHDIW,NO,COPY SMASHDIW.
SRSRA250,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA250.cbl,60,SRSWFANO,NO,COPY SRSWFANO.
SRSRA250,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA250.cbl,62,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA250,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA250.cbl,69,DFHAID,NO,COPY DFHAID.
SRSRA250,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA250.cbl,79,SRSMA9,NO,COPY SRSMA9.
SRSRA250,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA250.cbl,87,SRSCOMCS,YES,COPY SRSCOMCS REPLACING ==:COMCS:== BY ==COMCS==.
SRSRA250,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA250.cbl,88,SRSCOMA0,NO,COPY SRSCOMA0.
SRSRA250,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA250.cbl,214,SMASHDIP,NO,COPY SMASHDIP.
SRSRA260,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA260.cbl,91,SMASHTRC,NO,COPY SMASHTRC.
SRSRA260,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA260.cbl,94,SMASHDIW,NO,COPY SMASHDIW.
SRSRA260,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA260.cbl,96,SRSWFANO,NO,COPY SRSWFANO.
SRSRA260,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA260.cbl,98,SRSWSRCZ,NO,COPY SRSWSRCZ.
SRSRA260,C:\Users\Utilisateur\Documents\Workplace\cobol_tools_files\cobol_source-copie\SRSRA260.cbl,100,SRSTSRAE,NO,COPY SRSTSRAE.
