program,section,source,level,name,parent_name,full_path,pic,usage,occurs,occurs_depends_on,redefines,value,line_etude
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-CPTTRAIT,SMASH,SMASH/SMASH1-CPTTRAIT,9(002),,,,,ZERO,000058
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-MODAFFICH,SMASH,SMASH/SMASH1-MODAFFICH,X(008),,,,,SPACE,000059
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-IDMS,SMASH,SMASH/SMASH1-IDMS,X(008),,,,,SPACE,000060
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-NBPAGTOT,SMASH,SMASH/SMASH1-NBPAGTOT,9(004),,,,,ZERO,000061
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-NBLIGNES,SMASH,SMASH/SMASH1-NBLIGNES,9(004),,,,,ZERO,000062
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-NUMPAG,SMASH,SMASH/SMASH1-NUMPAG,9(004),,,,,ZERO,000063
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-NUMPAGSUIV,SMASH,SMASH/SMASH1-NUMPAGSUIV,9(004),,,,,ZERO,000064
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-TOUCHETRANS,SMASH,SMASH/SMASH1-TOUCHETRANS,X(001),,,,,SPACE,000065
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-MODANALCDE,SMASH,SMASH/SMASH1-MODANALCDE,X(008),,,,,SPACE,000066
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH1-COMMANDE,SMASH,SMASH/SMASH1-COMMANDE,X(001),,,,,SPACE,000067
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-EIBCALEN,SMASH,SMASH/SMASH-EIBCALEN,9(004),,,,,ZERO,000068
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-COMAREA,SMASH,SMASH/SMASH-COMAREA,9(004),,,,,ZERO,000069
SRSRADIS,WORKING-STORAGE SECTION,SMASHTRC,05,SMASH-CPT001,SMASH,SMASH/SMASH-CPT001,9(004),,,,,ZERO,000070
